property_id,lat,lng,addr_street,suburb,Lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
32366,-37.73839,145.024475,23 Sheila Street,PRESTON,BOROONDARA,20012.0,2.108843262813052,35.0,1.0,12.0,3.0,2.0,1.0
46779,-37.705436,145.165007,2 Gladwyn Court,ELTHAM,FRANKSTON,19987.0,1.7624246656909575,52.0,1.0,3.0,3.0,2.0,1.0
43543,-37.717075,145.089942,18 Shannon Crescent,WATSONIA,MANNINGHAM,19984.0,0.8699599261422627,42.0,1.0,11.0,6.0,4.0,2.0
36873,-37.634466,145.039851,15 Chettam Street,EPPING,FRANKSTON,20005.0,2.17144854325596,51.0,1.0,3.0,3.0,2.0,1.0
49514,-37.809729,145.08509,42 Yerrin Street,BALWYN,HOBSONS BAY,19894.0,1.6518492503283115,22.0,1.0,20.0,14.0,15.0,10.0
10086,-37.781097,144.922829,146 Ascot Vale Road,FLEMINGTON,WHITTLESEA,20039.0,0.6507031607505519,12.0,1.0,152.0,69.0,45.0,23.0
20648,-37.76276,144.950775,170 Hope Street,BRUNSWICK,MARIBYRNONG,19967.0,0.8882462512468982,18.0,1.0,22.0,7.0,5.0,3.0
29993,-37.780161,144.994747,36 Barry Street,NORTHCOTE,MURRINDINDI,20017.0,0.301240313937447,26.0,1.0,0.0,0.0,0.0,0.0
84534,-37.881865,144.994707,1 Burns Street,ELWOOD,MORELAND,19954.0,0.6318302985072525,not available,0.0,111.0,50.0,47.0,25.0
89446,-37.948322,145.014496,30 Grange Road,SANDRINGHAM,PYRENEES,19948.0,0.9002552913394503,not available,0.0,0.0,0.0,0.0,0.0
29947,-37.768368,145.009492,33 Oamaru Street,NORTHCOTE,MURRINDINDI,20015.0,1.1929648192454174,29.0,1.0,0.0,0.0,0.0,0.0
35872,-37.679659,145.030411,130 Dalton Road,THOMASTOWN,CAMPASPE,20007.0,1.4232570968337077,46.0,1.0,0.0,0.0,0.0,0.0
16739,-37.70057,144.908863,2 Reserve Court,GLENROY,WYNDHAM,20032.0,0.8583328494469702,28.0,1.0,99.0,43.0,33.0,20.0
31259,-37.755184,144.994505,432 St Georges Rd,THORNBURY,LATROBE,20014.0,0.35820157368976757,31.0,1.0,2.0,2.0,1.0,0.0
75782,-37.907426,145.085783,156 Warrigal Road,OAKLEIGH,WANGARATTA,19917.0,0.8159315573360267,26.0,1.0,0.0,0.0,0.0,0.0
44883,-37.68838,145.102098,30 Corowa Crescent,GREENSBOROUGH,GLEN EIRA,19985.0,1.8163050959585039,46.0,1.0,15.0,4.0,2.0,1.0
49491,-37.81618,145.085575,4/35 Talbot Avenue,BALWYN,HOBSONS BAY,19894.0,0.9433687608467382,22.0,1.0,20.0,14.0,15.0,10.0
25755,-37.589615,144.931412,19 Keysborough Street,CRAIGIEBURN,YARRA RANGES,40221.0,1.7170018819473936,41.0,1.0,5.0,3.0,2.0,1.0
8179,-37.763304,144.786176,17 Tunbridge Road,CAIRNLEA,YARRA RANGES,20003.0,2.1577035906421473,26.0,1.0,5.0,3.0,2.0,1.0
70383,-37.871575,145.071875,9 Solway Street,ASHBURTON,DAREBIN,19838.0,0.6347478056481728,not available,0.0,41.0,21.0,15.0,8.0
49377,-37.813397,145.097355,3/10 Westminster Street,BALWYN,HOBSONS BAY,19896.0,0.9835419155074924,25.0,1.0,20.0,14.0,15.0,10.0
15003,-37.742558,144.921494,134 Woodland Street,STRATHMORE,KNOX,20036.0,0.5201320028128974,19.0,1.0,23.0,5.0,3.0,2.0
53800,-37.820923,145.012197,8 Tudor Street,RICHMOND,EAST GIPPSLAND,19906.0,0.8440775866231442,8.0,1.0,1.0,0.0,0.0,0.0
42439,-37.763306,145.067276,6 Devon Street,EAGLEMONT,MORELAND,19935.0,0.9043333362997663,34.0,1.0,111.0,50.0,47.0,25.0
59976,-37.830061,145.209419,42 Churinga Avenue,MITCHAM,PORT PHILLIP,19901.0,1.277722461036185,32.0,1.0,25.0,8.0,5.0,3.0
16280,-37.697806,144.924946,100 Widford Street,GLENROY,WYNDHAM,20031.0,0.8546961969647232,30.0,1.0,99.0,43.0,33.0,20.0
74939,-37.905214,145.07441,289 Poath Road,MURRUMBEENA,MOIRA,19918.0,1.1845788448230428,24.0,1.0,0.0,0.0,-0.0,-0.0
37390,-37.64827,145.036681,4 Courtnay Place,EPPING,FRANKSTON,20005.0,0.7377384520585659,51.0,1.0,3.0,3.0,2.0,1.0
179,-37.80684,144.896685,104 Albert Street,SEDDON,EAST GIPPSLAND,19997.0,0.2569693582071276,not available,0.0,1.0,0.0,0.0,0.0
83711,-37.858006,145.00853,22 Vail Street,PRAHRAN,BOROONDARA,19946.0,0.9336034674019236,14.0,1.0,12.0,3.0,2.0,1.0
65042,-37.802784,145.305069,1/17-19 Browning Street,KILSYTH,SURF COAST,19877.0,2.108716363370508,46.0,1.0,1.0,0.0,0.0,0.0
8994,-37.863248,144.766598,24 Heffernan Street,LAVERTON,MURRINDINDI,19923.0,0.5312587154391094,not available,0.0,0.0,0.0,0.0,0.0
72649,-37.856275,145.256534,98 Sasses Avenue,BAYSWATER,INDIGO,19870.0,1.9135236425140738,41.0,1.0,-1.0,0.0,0.0,0.0
21398,-37.773733,144.963915,6 Charles Street,BRUNSWICK,MARIBYRNONG,19969.0,0.4781994458414417,15.0,1.0,22.0,7.0,5.0,3.0
52977,-37.813524,144.994898,3/96 York Street,RICHMOND,EAST GIPPSLAND,19978.0,0.34432647477068273,14.0,1.0,1.0,0.0,0.0,0.0
76028,-37.903732,145.088924,29 Queens Avenue,OAKLEIGH,WANGARATTA,19917.0,0.37790488545483997,26.0,1.0,0.0,0.0,0.0,0.0
5529,-37.784071,144.853205,15 Lily Street,BRAYBROOK,HUME,20021.0,1.8560296825852405,20.0,1.0,332.0,214.0,155.0,80.0
59035,-37.822887,145.1857,53 Rooks Road,MITCHAM,PORT PHILLIP,19900.0,0.773993888430348,31.0,1.0,25.0,8.0,5.0,3.0
48846,-37.800354,145.058112,98 Harp Road,KEW,SOUTH GIPPSLAND,19903.0,2.680625898844418,14.0,1.0,2.0,0.0,0.0,0.0
22983,-37.752343,144.967653,57 The Avenue,COBURG,MOONEE VALLEY,19966.0,0.5658021355938538,21.0,1.0,41.0,17.0,12.0,6.0
58142,-37.814249,145.139888,452 Middleborough Road,BLACKBURN,GREATER GEELONG,19897.0,0.7305593561611693,27.0,1.0,1.0,2.0,2.0,1.0
93302,-37.988729,145.097969,39 Scarlet Street,MORDIALLOC,PORT PHILLIP,19864.0,1.9594375079926092,45.0,1.0,25.0,8.0,5.0,3.0
47818,-37.809929,145.031297,12 Valentine Avenue,KEW,SOUTH GIPPSLAND,19904.0,1.3616271537513043,12.0,1.0,2.0,0.0,0.0,0.0
82660,-37.90707,145.269266,216 Karoo Road,ROWVILLE,BALLARAT,19868.0,3.6314626854768655,46.0,1.0,2.0,1.0,1.0,0.0
82275,-37.991058,145.242296,51 Tristania Street,DOVETON,HINDMARSH,19888.0,2.860010522854486,46.0,1.0,0.0,0.0,0.0,0.0
30894,-37.758108,145.014879,190A Mansfield Street,THORNBURY,LATROBE,20014.0,1.4749833992834023,31.0,1.0,2.0,2.0,1.0,0.0
37027,-37.641955,145.033511,2 Randwick Court,EPPING,FRANKSTON,20005.0,1.199084497432512,51.0,1.0,3.0,3.0,2.0,1.0
56011,-37.838903,145.068294,9 Lyric Grove,CAMBERWELL,MELBOURNE,19851.0,0.3961220376120987,21.0,1.0,23.0,11.0,8.0,5.0
3732,-37.820095,144.887823,60 Buninyong Street,YARRAVILLE,MITCHELL,19996.0,0.5076403259358191,not available,0.0,14.0,5.0,3.0,1.0
46010,-37.712012,145.116379,3 Mayona Road,MONTMORENCY,PORT PHILLIP,19986.0,0.5816120770331416,48.0,1.0,25.0,8.0,5.0,3.0
25358,-37.57221,144.927226,13/82 Royal Terrace,CRAIGIEBURN,YARRA RANGES,40221.0,3.588526678659004,41.0,1.0,5.0,3.0,2.0,1.0
36612,-37.661422,145.033283,97 Childs Road,LALOR,KINGSTON,20005.0,1.0436083560689648,51.0,1.0,13.0,4.0,2.0,1.0
75736,-37.899888,145.079289,140 Kangaroo Road,HUGHESDALE,BASS COAST,19918.0,0.5759564996717301,24.0,1.0,0.0,0.0,0.0,0.0
66342,-37.767466,145.319596,4 Gill Place,MOOROOLBARK,WEST WIMMERA,19877.0,2.0253150611825315,46.0,1.0,0.0,0.0,0.0,0.0
86161,-37.890793,145.00029,149 Cochrane St,BRIGHTON,HUME,19954.0,0.674460366295965,not available,0.0,332.0,214.0,155.0,80.0
20651,-37.777455,144.966178,171 Brunswick Road,BRUNSWICK,MARIBYRNONG,19969.0,0.7116396011310153,15.0,1.0,22.0,7.0,5.0,3.0
36149,-37.668247,145.027189,12 Raimeno Street,LALOR,KINGSTON,20006.0,0.920296437292145,48.0,1.0,13.0,4.0,2.0,1.0
66553,-37.782892,145.307962,6 Kathy Court,MOOROOLBARK,WEST WIMMERA,19877.0,0.44196521359555196,46.0,1.0,0.0,0.0,0.0,0.0
24129,-37.692821,144.961532,2 Eva Court,FAWKNER,MONASH,19961.0,0.9054031285657989,30.0,1.0,16.0,4.0,3.0,2.0
60210,-37.822886,145.202861,7 Dudley Street,MITCHAM,PORT PHILLIP,19901.0,0.9793798739439238,32.0,1.0,25.0,8.0,5.0,3.0
43901,-37.715222,145.075741,7 Curtis  Avenue,WATSONIA,MANNINGHAM,19984.0,0.853303276154768,42.0,1.0,11.0,6.0,4.0,2.0
56222,-37.854868,145.110965,149 Highbury Road,BURWOOD,MARIBYRNONG,19840.0,2.0879123605073593,not available,0.0,22.0,7.0,5.0,3.0
48185,-37.814163,145.043884,26 Stansell Street,KEW,SOUTH GIPPSLAND,19903.0,0.9327863518417007,14.0,1.0,2.0,0.0,0.0,0.0
43600,-37.71204,145.086716,21 Elder Street,WATSONIA,MANNINGHAM,19984.0,0.28416435918199257,42.0,1.0,11.0,6.0,4.0,2.0
72516,-37.851228,145.25275,6 Terama Crescent,BAYSWATER,INDIGO,19870.0,1.7167146821554606,41.0,1.0,-1.0,0.0,0.0,0.0
